Datacenter,Rack,Elevation,Hostname,Domain,Model,Host Serial Num,Chassis Serial Num,Service Tag,UW,CSL,Morgridge,Notes
CS2360,10S-210,11,ap2001,chtc.wisc.edu,Supermicro AS-1115HS-TNR,,CH119KM06BB0232,,,,,
CS2360,10S-210,12,ap2002,chtc.wisc.edu,Supermicro AS-1115HS-TNR,,CH119KL47BA0050,,,,,
CS2360,10S-210,13,hypervisor2007,chtc.wisc.edu,Supermicro AS -2124GQ-NART,,,,,,,
CS2360,10S-210,14,hypervisor2008,chtc.wisc.edu,Supermicro AS -2124GQ-NART,S430390X0C11405,,,,,,
CS2360,10S-209,7,e2548,chtc.wisc.edu,Dell PowerEdge R6525,CBC4RN3,,CBC4RN3,U045112,,,
CS2360,10S-209,6,e2549,chtc.wisc.edu,Dell PowerEdge R6525,JBC4RN3,,JBC4RN3,U045123,,,
CS2360,10S-209,5,e2550,chtc.wisc.edu,Dell PowerEdge R6525,JCC4RN3,,JCC4RN3,U045124,,,
CS2360,10S-209,4,e2551,chtc.wisc.edu,Dell PowerEdge R6525,DCC4RN3,,DCC4RN3,U045125,,,
CS2360,10S-209,3,e2552,chtc.wisc.edu,Dell PowerEdge R6525,HCC4RN3,,HCC4RN3,U045126,,,
CS2360,10S-209,2,e2553,chtc.wisc.edu,Dell PowerEdge R6525,BCC4RN3,,BCC4RN3,U045127,,,
CS2360,10S-209,1,e2554,chtc.wisc.edu,Dell PowerEdge R6525,CCC4RN3,,CCC4RN3,U045128,,,
CS2360,10S-206,12,e2555,chtc.wisc.edu,Dell PowerEdge R6525,GCC4RN3,,GCC4RN3,U045129,,,host down on icinga
CS2360,10S-206,11,e2556,chtc.wisc.edu,Dell PowerEdge R6525,1DC4RN3,,1DC4RN3,U045013,,,
CS2360,10S-206,10,e2557,chtc.wisc.edu,Dell PowerEdge R6525,FCC4RN3,,FCC4RN3,U045014,,,
